id,name,type,zone_min,zone_max,sun,soils,water,goals,harvest,traits,notes,partner,query,life_cycle,horizon,days_to_maturity_min,days_to_maturity_max,first_output_years_min,first_output_years_max,full_output_years_min,full_output_years_max,productive_lifespan_years_min,productive_lifespan_years_max,mature_height_ft_min,mature_height_ft_max,mature_spread_ft_min,mature_spread_ft_max,spacing_plant_ft_min,spacing_plant_ft_max,spacing_row_ft_min,spacing_row_ft_max,spacing_area_sqft_min,spacing_area_sqft_max,plants_per_100_sqft_min,plants_per_100_sqft_max,planting_depth_in_min,planting_depth_in_max,planting_depth_kind,planting_depth_note,planting_depth_confidence,container_min_gallons,container_suitability,container_note,container_confidence,deer_resistance,deer_resistance_label,deer_resistance_confidence,deer_resistance_note,juglone_tolerance,juglone_tolerance_label,juglone_tolerance_confidence,juglone_tolerance_note,output_kind,output_unit,output_min,output_max,yield_lbs_unit,yield_lbs_min,yield_lbs_max,yield_lbs_confidence,yield_lbs_method,ten_year_yield_lbs_min,ten_year_yield_lbs_max,harvest_window_weeks_min,harvest_window_weeks_max,difficulty_score,reliability_score,maintenance_score,multi_use_score,risk_level,data_confidence,data_method,metric_source_keys,metric_notes,last_reviewed
kobold-liatris,Kobold blazing star,perennial flower,3a,9a,full,loam; clay; sandy,medium,pollinators-wildlife; curb-appeal; low-maintenance-natives,purple summer spikes,native-style vertical bloom; butterfly favorite,Works well in meadow plantings and formal borders.,amazon,Kobold liatris plants,herbaceous perennial,Medium horizon,,,1,2,2,3,3,10,1,5,1,3,1,3,1,3,1,9,11.1,100,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,2,good,"Use 2+ gal per plant, or wider mixed containers with similar water needs.",medium,unknown,Not rated,low,No deer-resistance category is assigned yet; treat browsing risk as local and variable.,mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/year,3,8,,,,,"ornamental output is tracked as display weeks, not pound yield",,,3,8,1,4,2,3,lower,medium,herbaceous ornamental template,ncsu-plant-toolbox; mobot-plant-finder; kstate-herbaceous-spacing; umd-container-sizes; illinois-container-vegetables; psu-juglone-black-walnut,"Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
joe-pye-weed,Gateway Joe Pye weed,perennial flower,4a,9a,full; partial,clay; loam,high,pollinators-wildlife; curb-appeal; low-maintenance-natives,late summer mauve blooms,tall native perennial; butterfly magnet,Choose it for moist back-of-border drama.,amazon,Gateway Joe Pye weed plant,herbaceous perennial,Medium horizon,,,1,2,2,3,3,10,4,9,2,5,2,4,1,3,2,12,8.3,50,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,2,good,"Use 2+ gal per plant, or wider mixed containers with similar water needs.",medium,unknown,Not rated,low,No deer-resistance category is assigned yet; treat browsing risk as local and variable.,mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/year,4,8,,,,,"ornamental output is tracked as display weeks, not pound yield",,,2,5,2,4,2,3,lower,medium,herbaceous ornamental template,ncsu-plant-toolbox; mobot-plant-finder; kstate-herbaceous-spacing; umd-container-sizes; illinois-container-vegetables; psu-juglone-black-walnut,"Water demand is high; expected output assumes consistent moisture during establishment and crop fill.; Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
fireworks-goldenrod,Fireworks goldenrod,perennial flower,4a,9a,full,clay; loam; sandy,low,pollinators-wildlife; curb-appeal; low-maintenance-natives,fall golden plumes,late-season nectar; clumping habit,A pollinator bridge when many gardens are fading.,amazon,Fireworks goldenrod plants,herbaceous perennial,Medium horizon,,,1,2,2,3,3,10,1,5,1,3,1,3,1,3,1,9,11.1,100,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,2,good,"Use 2+ gal per plant, or wider mixed containers with similar water needs.",medium,rarely-damaged,Rarely damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",tolerant,Better near black walnut,medium,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/year,3,8,,,,,"ornamental output is tracked as display weeks, not pound yield",,,3,8,1,4,2,3,lower,medium,herbaceous ornamental template,ncsu-plant-toolbox; mobot-plant-finder; kstate-herbaceous-spacing; umd-container-sizes; illinois-container-vegetables; rutgers-deer-resistance; psu-juglone-black-walnut,"Pollination context can change realized yield; use companion or compatible cultivar notes before planting.; Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
october-skies-aster,October Skies aromatic aster,perennial flower,3a,8b,full,loam; sandy; clay,low,pollinators-wildlife; curb-appeal; low-maintenance-natives,fall blue-purple bloom,late pollinator food; mounded habit,Excellent fall color for dry sunny edges.,amazon,October Skies aster plant,herbaceous perennial,Medium horizon,,,1,2,2,3,3,10,1,5,1,3,1,3,1,3,1,9,11.1,100,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,2,good,"Use 2+ gal per plant, or wider mixed containers with similar water needs.",medium,unknown,Not rated,low,No deer-resistance category is assigned yet; treat browsing risk as local and variable.,tolerant,Better near black walnut,medium,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/year,3,8,,,,,"ornamental output is tracked as display weeks, not pound yield",,,12,24,1,4,2,3,lower,medium,herbaceous ornamental template,ncsu-plant-toolbox; mobot-plant-finder; kstate-herbaceous-spacing; umd-container-sizes; illinois-container-vegetables; psu-juglone-black-walnut,"Pollination context can change realized yield; use companion or compatible cultivar notes before planting.; Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
mountain-mint,Clustered mountain mint,perennial herb,4a,8b,full; partial,loam; clay,medium,pollinators-wildlife; vegetables-herbs; low-maintenance-natives,summer silver bracts,exceptional native pollinator plant; mint scent,A top-tier beneficial insect plant that behaves better than culinary mint.,amazon,clustered mountain mint plant,herbaceous or woody perennial,Fast-bearing perennial,,,0,1,1,2,3,10,1,4,1,4,1,3,1,3,1,9,11.1,100,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,1,good,"Small herbs, leafy crops, and radishes work in 1+ gal pots or wider shallow planters.",medium,rarely-damaged,Rarely damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",unknown,Not rated,low,No black-walnut cue is assigned yet; verify placement if planting inside a walnut root zone.,culinary,weeks of harvest,10,26,,,,,no defensible pound-yield source encoded yet,,,8,26,2,5,2,3,lower,medium,perennial culinary herb template,ncsu-plant-toolbox; mobot-plant-finder; kstate-herbaceous-spacing; umd-container-sizes; illinois-container-vegetables; rutgers-deer-resistance,Pollination context can change realized yield; use companion or compatible cultivar notes before planting.,2026-05-31
husker-red-penstemon,Husker Red penstemon,perennial flower,3a,8b,full; partial,loam; sandy,low,pollinators-wildlife; curb-appeal; low-maintenance-natives,late spring white flowers,burgundy foliage; native selection,Good for tidy pollinator beds with foliage interest.,amazon,Husker Red penstemon plants,herbaceous perennial,Medium horizon,,,1,2,2,3,3,10,1,5,1,3,1,3,1,3,1,9,11.1,100,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,2,good,"Use 2+ gal per plant, or wider mixed containers with similar water needs.",medium,unknown,Not rated,low,No deer-resistance category is assigned yet; treat browsing risk as local and variable.,mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/year,3,8,,,,,"ornamental output is tracked as display weeks, not pound yield",,,12,28,1,4,2,3,lower,medium,herbaceous ornamental template,ncsu-plant-toolbox; mobot-plant-finder; kstate-herbaceous-spacing; umd-container-sizes; illinois-container-vegetables; psu-juglone-black-walnut,"Pollination context can change realized yield; use companion or compatible cultivar notes before planting.; Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
jeana-phlox,Jeana garden phlox,perennial flower,4a,8b,full; partial,loam; clay,medium,pollinators-wildlife; curb-appeal; low-maintenance-natives,summer pink bloom,mildew-resistant phlox; butterfly favorite,A better-behaved phlox for humid gardens.,amazon,Jeana phlox plant,herbaceous perennial,Medium horizon,,,1,2,2,3,3,10,1,5,1,3,1,3,1,3,1,9,11.1,100,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,2,good,"Use 2+ gal per plant, or wider mixed containers with similar water needs.",medium,unknown,Not rated,low,No deer-resistance category is assigned yet; treat browsing risk as local and variable.,mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/year,3,8,,,,,"ornamental output is tracked as display weeks, not pound yield",,,2,5,1,4,2,3,lower,medium,herbaceous ornamental template,ncsu-plant-toolbox; mobot-plant-finder; kstate-herbaceous-spacing; umd-container-sizes; illinois-container-vegetables; psu-juglone-black-walnut,"Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
benary-zinnia,Benary's Giant zinnia,annual flower,3a,11a,full,loam; sandy,medium,pollinators-wildlife; curb-appeal,summer to frost flowers,excellent cut flower; butterfly visits,Direct sow after frost for big color fast.,amazon,Benary Giant zinnia seeds,annual,Seasonal annual,55,90,0,0,0,0,1,1,1,4,1,3,1,2,1,2,1,4,25,100,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,2,good,"Use 2+ gal per plant, or wider mixed containers with similar water needs.",medium,seldom-damaged,Seldom damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/year,8,18,,,,,"ornamental output is tracked as display weeks, not pound yield",,,14,24,1,4,2,2,lower,medium,annual ornamental template,ncsu-plant-toolbox; kstate-herbaceous-spacing; umd-container-sizes; illinois-container-vegetables; rutgers-deer-resistance; psu-juglone-black-walnut,"Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
sensation-cosmos,Sensation cosmos,annual flower,3a,11a,full,sandy; loam,low,pollinators-wildlife; curb-appeal,summer to frost flowers,airy annual flowers; thrives in lean soil,"Too much fertility gives leaves, not flowers.",amazon,Sensation cosmos seeds,annual,Seasonal annual,55,90,0,0,0,0,1,1,1,4,1,3,1,2,1,2,1,4,25,100,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,2,good,"Use 2+ gal per plant, or wider mixed containers with similar water needs.",medium,seldom-damaged,Seldom damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/year,8,18,,,,,"ornamental output is tracked as display weeks, not pound yield",,,14,24,1,4,2,2,lower,medium,annual ornamental template,ncsu-plant-toolbox; kstate-herbaceous-spacing; umd-container-sizes; illinois-container-vegetables; rutgers-deer-resistance; psu-juglone-black-walnut,"Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
durango-marigold,Durango marigold,annual flower,3a,11a,full,loam; clay; sandy,medium,pollinators-wildlife; curb-appeal; vegetables-herbs,summer to frost blooms,compact French marigold; vegetable-bed companion,A sturdy annual for edging vegetable beds.,amazon,Durango marigold seeds,annual,Seasonal annual,55,90,0,0,0,0,1,1,1,4,1,3,1,2,1,2,1,4,25,100,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,2,good,"Use 2+ gal per plant, or wider mixed containers with similar water needs.",medium,seldom-damaged,Seldom damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/year,8,18,,,,,"ornamental output is tracked as display weeks, not pound yield",,,14,24,1,4,2,3,lower,medium,annual ornamental template,ncsu-plant-toolbox; kstate-herbaceous-spacing; umd-container-sizes; illinois-container-vegetables; rutgers-deer-resistance; psu-juglone-black-walnut,"Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
alaska-nasturtium,Alaska nasturtium,annual flower,3a,10b,partial; full,sandy; loam,medium,pollinators-wildlife; curb-appeal; vegetables-herbs,edible leaves and flowers,variegated foliage; edible blooms,Good in cooler weather and partial sun.,amazon,Alaska nasturtium seeds,annual,Seasonal annual,55,90,0,0,0,0,1,1,1,4,1,3,1,2,1,2,1,4,25,100,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,2,good,"Use 2+ gal per plant, or wider mixed containers with similar water needs.",medium,seldom-damaged,Seldom damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/year,8,18,,,,,"ornamental output is tracked as display weeks, not pound yield",,,6,12,1,4,2,3,lower,medium,annual ornamental template,ncsu-plant-toolbox; kstate-herbaceous-spacing; umd-container-sizes; illinois-container-vegetables; rutgers-deer-resistance; psu-juglone-black-walnut,"Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
mammoth-sunflower,Mammoth sunflower,annual flower,3a,11a,full,clay; loam; sandy,medium,pollinators-wildlife; curb-appeal,late summer seedheads,tall dramatic annual; feeds birds,Direct sow in full sun after frost.,amazon,Mammoth sunflower seeds,annual,Seasonal annual,55,90,0,0,0,0,1,1,1,4,1,3,1,2,1,2,1,4,25,100,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,2,good,"Use 2+ gal per plant, or wider mixed containers with similar water needs.",medium,unknown,Not rated,low,No deer-resistance category is assigned yet; treat browsing risk as local and variable.,tolerant,Better near black walnut,medium,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/year,8,18,,,,,"ornamental output is tracked as display weeks, not pound yield",,,2,5,1,4,2,2,lower,medium,annual ornamental template,ncsu-plant-toolbox; kstate-herbaceous-spacing; umd-container-sizes; illinois-container-vegetables; psu-juglone-black-walnut,"Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
limelight-hydrangea,Limelight panicle hydrangea,ornamental shrub,3a,8b,full; partial,loam; clay,medium,curb-appeal; pollinators-wildlife; privacy-screening,summer lime-white panicles,cold-hardy hydrangea; blooms on new wood,Much more sun-tolerant than bigleaf hydrangeas.,starkbros,Limelight hydrangea,woody perennial,Medium horizon,,,1,2,3,5,10,30,3,10,3,10,3,8,3,8,9,64,1.6,11.1,0,0,root crown,Set the crown or top of root ball level with the surrounding soil.,medium,10,workable,Use 10+ gal; larger containers improve moisture buffering at maturity.,medium,occasionally-damaged,Occasionally damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",sensitive,Juglone-sensitive,medium,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/display/year,4,16,,,,,"ornamental output is tracked as display weeks, not pound yield",,,4,16,2,4,2,3,lower,medium,ornamental shrub template,ncsu-plant-toolbox; mobot-plant-finder; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; rutgers-deer-resistance; psu-juglone-black-walnut,"Spacing may be tightened for screens, but dense planting can reduce airflow and increase maintenance.; Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
natchez-crape-myrtle,Natchez crape myrtle,ornamental tree,7a,9b,full,clay; loam; sandy,low,curb-appeal; pollinators-wildlife,white summer bloom,exfoliating bark; heat-tolerant tree,A graceful flowering tree for hot sunny sites.,amazon,Natchez crape myrtle tree,woody perennial,Long horizon,,,2,5,5,10,20,80,15,40,12,35,15,35,15,35,225,1225,0.1,0.4,0,0,root flare,Keep the root flare at soil level; graft unions stay above grade.,medium,45,in-ground preferred,Large trees can be started in containers but are not practical long-term patio crops.,low,unknown,Not rated,low,No deer-resistance category is assigned yet; treat browsing risk as local and variable.,unknown,Not rated,low,No black-walnut cue is assigned yet; verify placement if planting inside a walnut root zone.,ornamental,weeks of bloom/display/year,4,12,,,,,"ornamental output is tracked as display weeks, not pound yield",,,4,12,2,4,2,2,lower,medium,ornamental tree template,ncsu-plant-toolbox; mobot-plant-finder; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes,"Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
bloodgood-japanese-maple,Bloodgood Japanese maple,ornamental tree,5a,8b,partial,loam,medium,curb-appeal,red foliage spring to fall,compact shade tree; fine-textured leaves,Protect from hot afternoon sun in warm climates.,starkbros,Bloodgood Japanese maple,woody perennial,Long horizon,,,2,5,5,10,40,100,40,70,25,50,25,45,25,45,625,2025,0,0.2,0,0,root flare,Keep the root flare at soil level; graft unions stay above grade.,medium,45,in-ground preferred,Large trees can be started in containers but are not practical long-term patio crops.,low,unknown,Not rated,low,No deer-resistance category is assigned yet; treat browsing risk as local and variable.,unknown,Not rated,low,No black-walnut cue is assigned yet; verify placement if planting inside a walnut root zone.,ornamental,weeks of shade/fall display,12,28,,,,,"ornamental output is tracked as display weeks, not pound yield",,,14,24,2,4,2,1,lower,medium,ornamental tree template,ncsu-plant-toolbox; mobot-plant-finder; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes,"Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
patriot-hosta,Patriot hosta,ornamental perennial,3a,8b,shade; partial,loam; clay,medium,curb-appeal,variegated foliage,shade foliage plant; lavender flowers,A dependable shade option where water is not too scarce.,amazon,Patriot hosta plants,herbaceous perennial,Fast-bearing perennial,,,0,1,1,3,5,15,2,4,2,4,2,4,1,3,2,12,8.3,50,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,3,workable,Use 3+ gal for establishment and size up as clumps mature.,medium,frequently-damaged,Frequently damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",tolerant,Better near black walnut,medium,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of harvest/display,8,20,,,,,"ornamental output is tracked as display weeks, not pound yield",,,12,28,2,4,2,1,lower,medium,ornamental perennial template,ncsu-plant-toolbox; mobot-plant-finder; kstate-herbaceous-spacing; umd-container-sizes; rutgers-deer-resistance; psu-juglone-black-walnut,"Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
caramel-heuchera,Caramel coral bells,ornamental perennial,4a,9a,shade; partial,loam,medium,curb-appeal; pollinators-wildlife,amber foliage,evergreen in mild climates; small pollinator flowers,Adds foliage color without needing full sun.,amazon,Caramel heuchera plants,herbaceous perennial,Medium horizon,,,1,2,2,3,3,10,0.5,2,1,4,1,3,1,3,1,9,11.1,100,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,3,workable,Use 3+ gal for establishment and size up as clumps mature.,medium,unknown,Not rated,low,No deer-resistance category is assigned yet; treat browsing risk as local and variable.,unknown,Not rated,low,No black-walnut cue is assigned yet; verify placement if planting inside a walnut root zone.,ornamental,weeks of foliage/bloom display/year,12,28,,,,,"ornamental output is tracked as display weeks, not pound yield",,,12,28,1,4,2,2,lower,medium,ornamental perennial template,ncsu-plant-toolbox; mobot-plant-finder; kstate-herbaceous-spacing; umd-container-sizes,"Pollination context can change realized yield; use companion or compatible cultivar notes before planting.; Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
dwarf-yaupon-holly,Dwarf yaupon holly,ornamental shrub,7a,10a,full; partial,clay; loam; sandy,low,curb-appeal; pollinators-wildlife; privacy-screening; low-maintenance-natives,evergreen structure,native evergreen; tolerates pruning,A tough southern foundation shrub for sun or part shade.,amazon,dwarf yaupon holly plant,woody perennial,Medium horizon,,,1,2,3,5,10,30,3,12,3,10,3,8,3,8,9,64,1.6,11.1,0,0,root crown,Set the crown or top of root ball level with the surrounding soil.,medium,10,workable,Use 10+ gal; larger containers improve moisture buffering at maturity.,medium,rarely-damaged,Rarely damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of structure/year,28,52,,,,,"ornamental output is tracked as display weeks, not pound yield",,,4,16,2,4,2,3,lower,medium,ornamental shrub template,ncsu-plant-toolbox; mobot-plant-finder; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; rutgers-deer-resistance; psu-juglone-black-walnut,"Spacing may be tightened for screens, but dense planting can reduce airflow and increase maintenance.; Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
oakleaf-hydrangea,Oakleaf hydrangea,ornamental shrub,5a,9a,partial; shade,loam; clay,medium,curb-appeal; pollinators-wildlife; privacy-screening; low-maintenance-natives,white summer panicles and fall color,native shrub; textured leaves,Excellent for woodland edges and bright shade.,starkbros,oakleaf hydrangea,woody perennial,Medium horizon,,,1,2,3,5,10,30,3,10,3,10,3,8,3,8,9,64,1.6,11.1,0,0,root crown,Set the crown or top of root ball level with the surrounding soil.,medium,10,workable,Use 10+ gal; larger containers improve moisture buffering at maturity.,medium,occasionally-damaged,Occasionally damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",sensitive,Juglone-sensitive,medium,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/display/year,4,16,,,,,"ornamental output is tracked as display weeks, not pound yield",,,12,24,2,4,2,3,lower,medium,ornamental shrub template,ncsu-plant-toolbox; mobot-plant-finder; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; rutgers-deer-resistance; psu-juglone-black-walnut,"Spacing may be tightened for screens, but dense planting can reduce airflow and increase maintenance.; Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
beautyberry,American beautyberry,ornamental shrub,6a,10a,partial; full,clay; loam; sandy,medium,curb-appeal; pollinators-wildlife; privacy-screening; low-maintenance-natives,purple fall berries,native shrub; wildlife fruit,A showy native for loose hedges and part sun.,amazon,American beautyberry plant,woody perennial,Medium horizon,,,1,2,3,5,10,30,3,10,3,10,3,8,3,8,9,64,1.6,11.1,0,0,root crown,Set the crown or top of root ball level with the surrounding soil.,medium,10,workable,Use 10+ gal; larger containers improve moisture buffering at maturity.,medium,unknown,Not rated,low,No deer-resistance category is assigned yet; treat browsing risk as local and variable.,mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/display/year,4,16,,,,,"ornamental output is tracked as display weeks, not pound yield",,,4,16,2,4,2,3,lower,medium,ornamental shrub template,ncsu-plant-toolbox; mobot-plant-finder; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; psu-juglone-black-walnut,"Spacing may be tightened for screens, but dense planting can reduce airflow and increase maintenance.; Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
arnold-promise-witch-hazel,Arnold Promise witch hazel,ornamental shrub,5a,8b,full; partial,loam; clay,medium,curb-appeal; pollinators-wildlife; privacy-screening,fragrant late-winter bloom,yellow winter flowers; early pollinator value,A lovely shrub for four-season gardens.,starkbros,Arnold Promise witch hazel,woody perennial,Medium horizon,,,1,2,3,5,10,30,3,10,3,10,3,8,3,8,9,64,1.6,11.1,0,0,root crown,Set the crown or top of root ball level with the surrounding soil.,medium,10,workable,Use 10+ gal; larger containers improve moisture buffering at maturity.,medium,unknown,Not rated,low,No deer-resistance category is assigned yet; treat browsing risk as local and variable.,mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/display/year,4,16,,,,,"ornamental output is tracked as display weeks, not pound yield",,,2,5,2,4,2,3,lower,medium,ornamental shrub template,ncsu-plant-toolbox; mobot-plant-finder; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; psu-juglone-black-walnut,"Pollination context can change realized yield; use companion or compatible cultivar notes before planting.; Spacing may be tightened for screens, but dense planting can reduce airflow and increase maintenance.; Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
red-twig-dogwood,Red twig dogwood,ornamental shrub,3a,8a,full; partial,clay; loam,high,curb-appeal; pollinators-wildlife; privacy-screening; low-maintenance-natives,winter red stems,handles wet soil; native shrub,Best where moisture is steady and winter color matters.,amazon,red twig dogwood shrub,woody perennial,Medium horizon,,,1,2,3,5,10,30,3,10,3,10,3,8,3,8,9,64,1.6,11.1,0,0,root crown,Set the crown or top of root ball level with the surrounding soil.,medium,10,workable,Use 10+ gal; larger containers improve moisture buffering at maturity.,medium,occasionally-damaged,Occasionally damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",mixed-uncertain,Mixed or uncertain,low,"Use as a black walnut / juglone planning cue; tolerance varies by cultivar, soil, and distance from the tree.",ornamental,weeks of bloom/display/year,4,16,,,,,"ornamental output is tracked as display weeks, not pound yield",,,4,16,2,4,2,3,lower,medium,ornamental shrub template,ncsu-plant-toolbox; mobot-plant-finder; umd-tree-shrub-planting; umd-home-fruit-planting; umd-container-sizes; rutgers-deer-resistance; psu-juglone-black-walnut,"Water demand is high; expected output assumes consistent moisture during establishment and crop fill.; Spacing may be tightened for screens, but dense planting can reduce airflow and increase maintenance.; Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
little-bluestem,Little bluestem,ornamental grass,3a,9a,full,sandy; loam; clay,low,curb-appeal; pollinators-wildlife; privacy-screening; low-maintenance-natives,blue-green summer grass and copper fall color,native warm-season grass; drought tolerant,Adds structure and habitat to dry sunny plantings.,amazon,little bluestem grass plants,herbaceous perennial,Medium horizon,,,1,2,2,3,5,15,1,7,1,5,1.5,5,2,4,3,20,5,33.3,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,3,workable,Use 3+ gal for establishment and size up as clumps mature.,medium,rarely-damaged,Rarely damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",unknown,Not rated,low,No black-walnut cue is assigned yet; verify placement if planting inside a walnut root zone.,ornamental,weeks of foliage/seedhead display/year,16,36,,,,,"ornamental output is tracked as display weeks, not pound yield",,,12,24,1,5,1,3,lower,medium,ornamental grass template,ncsu-plant-toolbox; mobot-plant-finder; kstate-herbaceous-spacing; umd-container-sizes; rutgers-deer-resistance,"Spacing may be tightened for screens, but dense planting can reduce airflow and increase maintenance.; Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
northwind-switchgrass,Northwind switchgrass,ornamental grass,4a,9a,full,clay; loam; sandy,medium,curb-appeal; pollinators-wildlife; privacy-screening; low-maintenance-natives,upright summer grass and winter seedheads,native grass cultivar; strong vertical habit,"Tough, architectural, and useful in rain-garden edges.",amazon,Northwind switchgrass plants,herbaceous perennial,Medium horizon,,,1,2,2,3,5,15,1,7,1,5,1.5,5,2,4,3,20,5,33.3,0,0,crown,Set the crown at the same level it grew in the nursery pot.,medium,3,workable,Use 3+ gal for establishment and size up as clumps mature.,medium,rarely-damaged,Rarely damaged,medium,"Use as a deer browsing cue, not a guarantee; heavy deer pressure can override resistance ratings.",unknown,Not rated,low,No black-walnut cue is assigned yet; verify placement if planting inside a walnut root zone.,ornamental,weeks of foliage/seedhead display/year,16,36,,,,,"ornamental output is tracked as display weeks, not pound yield",,,14,32,1,5,1,3,lower,medium,ornamental grass template,ncsu-plant-toolbox; mobot-plant-finder; kstate-herbaceous-spacing; umd-container-sizes; rutgers-deer-resistance,"Spacing may be tightened for screens, but dense planting can reduce airflow and increase maintenance.; Output is expressed as ornamental display weeks, not edible yield.",2026-05-31
